ingredient_id,name,display_name,classification,data_source_type,seasonal_source_name,seasonal_source_url
ingredient_0001,갓김치,갓김치,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0002,고추장아찌,고추장아찌,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0003,깍두기,깍두기,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0004,깻잎장아찌,깻잎장아찌,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0005,낫또,낫또,콩/견과류,영양만 있음,,
ingredient_0006,단무지,단무지,가공식품류,영양만 있음,,
ingredient_0007,더덕장아찌,더덕장아찌,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0008,레몬청,레몬청,가공식품류,영양만 있음,,
ingredient_0009,마늘장아찌,마늘장아찌,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0010,마늘쫑장아찌,마늘쫑장아찌,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0011,매실장아찌,매실장아찌,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0012,매실청,매실청,가공식품류,영양만 있음,,
ingredient_0013,명란젓,명란젓,조미료/양념,영양만 있음,,
ingredient_0014,무말랭이,무말랭이,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0015,무장아찌,무장아찌,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0016,묵은지,묵은지,가공식품류,영양만 있음,,
ingredient_0017,배추김치,배추김치,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0018,블랙올리브,블랙올리브,가공식품류,영양만 있음,,
ingredient_0019,생강청,생강청,가공식품류,영양만 있음,,
ingredient_0020,쌈무,쌈무,가공식품류,영양만 있음,,
ingredient_0021,양파장아찌,양파장아찌,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0022,열무김치,열무김치,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0023,염장새우,액젓 / 젓갈,조미료/양념,영양만 있음,,
ingredient_0024,오이장아찌,오이장아찌,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0025,유자청,유자청,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0026,총각김치,총각김치,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0027,케이퍼,케이퍼,조미료/양념,영양만 있음,,
ingredient_0028,파김치,파김치,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0029,피클,피클,가공식품류,영양만 있음,,
ingredient_0030,할라피뇨,할라피뇨,채소류,영양만 있음,,
ingredient_0031,곤약면,곤약면,면/빵/떡,영양만 있음,,
ingredient_0032,당면,당면,면/빵/떡,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0033,떡,떡,면/빵/떡,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0034,또띠아,또띠아 / 토르티야,면/빵/떡,영양만 있음,,
ingredient_0035,마카로니,마카로니,면/빵/떡,영양만 있음,,
ingredient_0036,만두,만두,면/빵/떡,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0037,만두피,만두피,면/빵/떡,영양만 있음,,
ingredient_0038,모닝빵,모닝빵,면/빵/떡,영양만 있음,,
ingredient_0039,바게트빵,바게트,면/빵/떡,영양만 있음,,
ingredient_0040,소면,소면,면/빵/떡,영양만 있음,,
ingredient_0041,식빵,식빵,면/빵/떡,영양만 있음,,
ingredient_0042,우동사리,우동사리,면/빵/떡,영양만 있음,,
ingredient_0043,중화면,중화면,면/빵/떡,영양만 있음,,
ingredient_0044,쫄면,쫄면,면/빵/떡,영양만 있음,,
ingredient_0045,칼국수면,칼국수면,면/빵/떡,영양만 있음,,
ingredient_0046,파스타,파스타,면/빵/떡,영양만 있음,,
ingredient_0047,호밀빵,호밀빵,면/빵/떡,영양만 있음,,
ingredient_0048,겨자페이스트,머스터드,조미료/양념,영양만 있음,,
ingredient_0049,굴소스,굴소스,조미료/양념,영양만 있음,,
ingredient_0050,냉면육수,냉면육수,조미료/양념,영양만 있음,,
ingredient_0051,다대기,다대기,조미료/양념,영양만 있음,,
ingredient_0052,다시다,MSG,조미료/양념,영양만 있음,,
ingredient_0053,돈가스소스,돈가스소스,조미료/양념,영양만 있음,,
ingredient_0054,마요네즈,마요네즈,조미료/양념,영양만 있음,,
ingredient_0055,바베큐소스,바베큐소스,조미료/양념,영양만 있음,,
ingredient_0056,불닭소스,불닭소스,조미료/양념,영양만 있음,,
ingredient_0057,사골육수,사골육수,조미료/양념,영양만 있음,,
ingredient_0058,스테이크소스,스테이크소스,조미료/양념,영양만 있음,,
ingredient_0059,우스터소스,우스터소스,조미료/양념,영양만 있음,,
ingredient_0060,짜장분말,짜장가루,조미료/양념,영양만 있음,,
ingredient_0061,쯔란,쯔란,조미료/양념,영양만 있음,,
ingredient_0062,치킨스톡,스톡,조미료/양념,영양만 있음,,
ingredient_0063,칠리소스,칠리소스,조미료/양념,영양만 있음,,
ingredient_0064,케첩,케첩,조미료/양념,영양만 있음,,
ingredient_0065,토마토소스,토마토소스,조미료/양념,영양만 있음,,
ingredient_0066,피자소스,피자소스,조미료/양념,영양만 있음,,
ingredient_0067,핫소스,핫소스,조미료/양념,영양만 있음,,
ingredient_0068,들기름,들기름,조미료/양념,영양만 있음,,
ingredient_0069,식용유,식용유,조미료/양념,영양만 있음,,
ingredient_0070,올리브유,올리브유,조미료/양념,영양만 있음,,
ingredient_0071,참기름,참기름,조미료/양념,영양만 있음,,
ingredient_0072,카놀라유,카놀라유,조미료/양념,영양만 있음,,
ingredient_0073,포도씨유,포도씨유,조미료/양념,영양만 있음,,
ingredient_0074,해바라기유,해바라기유,조미료/양념,영양만 있음,,
ingredient_0075,현미유,현미유,조미료/양념,영양만 있음,,
ingredient_0076,간장,쯔유,조미료/양념,영양만 있음,,
ingredient_0077,강황가루,카레가루,조미료/양념,영양만 있음,,
ingredient_0078,계피가루,계피가루,조미료/양념,영양만 있음,,
ingredient_0079,고추장,고추장,조미료/양념,영양만 있음,,
ingredient_0080,고추플레이크,페페론치노,조미료/양념,영양만 있음,,
ingredient_0081,고춧가루,고춧가루,조미료/양념,영양만 있음,,
ingredient_0082,꿀,꿀,조미료/양념,영양만 있음,,
ingredient_0083,된장,된장,조미료/양념,영양만 있음,,
ingredient_0084,로즈마리,로즈마리,채소류,영양만 있음,,
ingredient_0085,물엿,물엿,조미료/양념,영양만 있음,,
ingredient_0086,바질,바질,채소류,영양만 있음,,
ingredient_0087,생강가루,생강가루,조미료/양념,영양만 있음,,
ingredient_0088,설탕,설탕,조미료/양념,영양만 있음,,
ingredient_0089,식초,식초,조미료/양념,영양만 있음,,
ingredient_0090,쌈장,쌈장,조미료/양념,영양만 있음,,
ingredient_0091,알룰로스,알룰로스,조미료/양념,영양만 있음,,
ingredient_0092,애플민트,민트,채소류,영양만 있음,,
ingredient_0093,양조간장,간장,조미료/양념,영양만 있음,,
ingredient_0094,오레가노,오레가노,채소류,영양만 있음,,
ingredient_0095,올리고당,올리고당,조미료/양념,영양만 있음,,
ingredient_0096,와사비,와사비,조미료/양념,영양만 있음,,
ingredient_0097,월계수잎,월계수잎,조미료/양념,영양만 있음,,
ingredient_0098,조청,조청,조미료/양념,영양만 있음,,
ingredient_0099,천일염,소금,조미료/양념,영양만 있음,,
ingredient_0100,청국장,청국장,조미료/양념,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0101,초고추장,초고추장,조미료/양념,영양만 있음,,
ingredient_0102,춘장,춘장,조미료/양념,영양만 있음,,
ingredient_0103,타임,타임,조미료/양념,영양만 있음,,
ingredient_0104,파슬리,파슬리,채소류,영양만 있음,,
ingredient_0105,홀그레인,홀그레인머스타드,조미료/양념,영양만 있음,,
ingredient_0106,후추,후추,조미료/양념,영양만 있음,,
ingredient_0107,두유,두유,콩/견과류,영양만 있음,,
ingredient_0108,레몬즙,레몬즙,가공식품류,영양만 있음,,
ingredient_0109,맥주,맥주,조미료/양념,영양만 있음,,
ingredient_0110,배즙,배즙,가공식품류,영양만 있음,,
ingredient_0111,사과즙,사과즙,가공식품류,영양만 있음,,
ingredient_0112,사이다,사이다,가공식품류,영양만 있음,,
ingredient_0113,생강즙,생강즙,가공식품류,영양만 있음,,
ingredient_0114,소주,소주,조미료/양념,영양만 있음,,
ingredient_0115,청주,맛술,조미료/양념,영양만 있음,,
ingredient_0116,커피분말,커피가루,조미료/양념,영양만 있음,,
ingredient_0117,콜라,콜라,가공식품류,영양만 있음,,
ingredient_0118,탄산수,탄산수,가공식품류,영양만 있음,,
ingredient_0119,화이트와인,화이트와인,조미료/양념,영양만 있음,,
ingredient_0120,곤약,곤약,가공식품류,영양만 있음,,
ingredient_0121,그래놀라,그래놀라,곡류/전분,영양만 있음,,
ingredient_0122,녹말,녹말가루,곡류/전분,영양만 있음,,
ingredient_0123,도토리묵,묵,가공식품류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0124,두부,두부,콩/견과류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0125,들깨가루,들깨가루,콩/견과류,영양만 있음,,
ingredient_0126,땅콩버터,땅콩버터 / 땅콩잼,가공식품류,영양만 있음,,
ingredient_0127,메밀가루,메밀가루,곡류/전분,영양만 있음,,
ingredient_0128,미숫가루,미숫가루,곡류/전분,영양만 있음,,
ingredient_0129,밀가루,밀가루,곡류/전분,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0130,부침가루,부침가루,곡류/전분,영양만 있음,,
ingredient_0131,빵가루,빵가루,곡류/전분,영양만 있음,,
ingredient_0132,스위트콘,스위트콘,가공식품류,영양만 있음,,
ingredient_0133,앙금,앙금,콩/견과류,영양만 있음,,
ingredient_0134,옥수수전분,전분,곡류/전분,영양만 있음,,
ingredient_0135,유부,유부,콩/견과류,영양만 있음,,
ingredient_0136,잼,잼,가공식품류,영양만 있음,,
ingredient_0137,중력분,중력분,곡류/전분,영양만 있음,,
ingredient_0138,찹쌀가루,찹쌀가루,곡류/전분,영양만 있음,,
ingredient_0139,콩가루,콩가루,콩/견과류,영양만 있음,,
ingredient_0140,튀김가루,튀김가루,곡류/전분,영양만 있음,,
ingredient_0141,감자,감자,채소류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0142,고구마,고구마,채소류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0143,귀리,귀리,곡류/전분,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0144,기장,기장,곡류/전분,가이드만 있음,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0145,메밀,메밀면,면/빵/떡,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0146,보리,보리,곡류/전분,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0147,수수,수수,곡류/전분,가이드만 있음,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0148,쌀,쌀,쌀/밥류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0149,오곡,오곡,곡류/전분,가이드만 있음,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0150,오트밀,오트밀,곡류/전분,영양만 있음,,
ingredient_0151,옥수수,옥수수,채소류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0152,율무,율무,곡류/전분,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0153,조,조,곡류/전분,가이드만 있음,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0154,찹쌀,찹쌀,쌀/밥류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0155,현미,밥,쌀/밥류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0156,흑미,흑미,쌀/밥류,가이드만 있음,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0157,건대추,건대추,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0158,건살구,건살구,과일류,영양만 있음,,
ingredient_0159,건포도,건포도,과일류,영양만 있음,,
ingredient_0160,귤,귤,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0161,단감,단감,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0162,대추,대추,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0163,딸기,딸기,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0164,라임,라임,과일류,영양만 있음,,
ingredient_0165,레몬,레몬,과일류,영양만 있음,,
ingredient_0166,망고,망고,과일류,영양만 있음,,
ingredient_0167,매실,매실,과일류,영양만 있음,,
ingredient_0168,멜론,멜론,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0169,모과,모과,과일류,가이드만 있음,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0170,무화과,무화과,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0171,바나나,바나나,과일류,영양만 있음,,
ingredient_0172,배,배,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0173,복숭아,복숭아,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0174,블루베리,블루베리,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0175,사과,사과,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0176,산딸기,산딸기,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0177,석류,석류,과일류,가이드만 있음,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0178,수박,수박,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0179,아보카도,아보카도,과일류,영양만 있음,,
ingredient_0180,오디,오디,과일류,가이드만 있음,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0181,오렌지,오렌지,과일류,영양만 있음,,
ingredient_0182,자두,자두,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0183,자몽,자몽,과일류,영양만 있음,,
ingredient_0184,참외,참외즙 / 참외,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0185,청포도,포도,과일류,영양만 있음,,
ingredient_0186,체리,체리,과일류,영양만 있음,,
ingredient_0187,크랜베리,크랜베리,과일류,영양만 있음,,
ingredient_0188,키위,키위,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0189,파인애플,파인애플,과일류,영양만 있음,,
ingredient_0190,포도,블랙사파이어 / 샤인머스켓,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0191,고사리,고사리,채소류,가이드만 있음,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0192,곤드레,곤드레,채소류,영양만 있음,,
ingredient_0193,삼나물,묵은나물,채소류,가이드만 있음,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0194,시래기,시래기,채소류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0195,무순,무순,채소류,영양만 있음,,
ingredient_0196,새싹,새싹,채소류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0197,견과류,견과류,콩/견과류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0198,녹두,녹두,콩/견과류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0199,도토리,도토리가루,콩/견과류,영양만 있음,,
ingredient_0200,들깨,깨,조미료/양념,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0201,땅콩,땅콩,콩/견과류,영양만 있음,,
ingredient_0202,밤,밤,과일류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0203,은행,은행,콩/견과류,영양만 있음,,
ingredient_0204,참깨,흑임자,콩/견과류,영양만 있음,,
ingredient_0205,콩,콩,콩/견과류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0206,팥,팥,콩/견과류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0207,느타리버섯,느타리버섯,버섯류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
ingredient_0208,만가닥버섯,만가닥버섯,버섯류,영양+가이드,농촌진흥청 국립농업과학원/NICS 이달의 식재료,https://nics.go.kr/food/kfi/foodMonth/list
