RCP_SNO,CKG_NM,INQ_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,INQ_CNT_RATE,REVIEW_STAR_NORM_AVG,REVIEW_SENTIMENT_AVG,INQ_CNT_LOG,INQ_CNT_LOG_CENTERED,REVIEW_RANK_SCORE
7016814,된장수육,1396,1,삶기,술안주,돼지고기,메인반찬,"[['돼지고기 수육용삼겹살', '500', 'g'], [' 된장', '1.5', '큰술'], [' 술', '4', '큰술'], [' 홍어무침', '', ''], [' 무생채', '', ''], [' 콩나물무침', '', '']]",2인분,고급,2시간이내,0.022969215,,,7.242082359256962,-0.5266176966808516,
7016815,우거지 감자탕,4008,29,끓이기,해장,돼지고기,국/탕,"[['돼지등뼈', '1.5', 'kg'], [' 양파', '1/2', '개'], [' 감자', '1', '개'], [' 대파', '1', '대'], [' 알배기배추', '1/2', '개'], [' 청양고추', '2', '개'], [' 깻잎', '10~15', '장'], [' 고추장', '2', 't'], [' 다진마늘', '1', 't'], [' 간장', '3', 't'], [' 고춧가루', '3', 't'], [' 액젓', '3', 't'], [' 다진생강', '1', 't'], [' 다시다', '1', 't'], [' 들깨가루', '3', 't']]",4인분,중급,2시간이내,0.065945999,,,8.296297112642508,0.5275970567046944,
7016816,만두전골,6350,6,끓이기,손님접대,가공식품류,면/만두,"[['만두', '12', '개'], [' 청경채', '3', '개'], [' 양파', '1/2', '개'], [' 대파', '1/2', '개'], [' 느타리버섯', '100', 'g'], [' 홍고추', '', '약간'], [' 다시마', '4', '개'], [' 물', '1', 'l'], [' 국간장', '2', 't'], [' 참치 액', '1', 't'], [' 다진 마늘', '1', 't'], [' 통후추', '20', '바퀴']]",4인분,중급,60분이내,0.104480313,,,8.756367559802975,0.9876675038651612,
7016817,무수분보쌈,1829,6,삶기,손님접대,돼지고기,메인반찬,"[['통삼겹살', '600', 'g'], [' 양파', '1', '개'], [' 못난이 사과 小', '2', '개'], [' 대파', '2', '대'], [' 마늘', '8', '개'], [' 생강가루', '', ''], [' 월계수 잎', '4~5', '장'], [' 통후추', '', '조금'], [' 맛술', '1/2', '컵'], [' 설탕', '2', 't'], [' 꿀', '2', 't'], [' 레몬즙', '3', 't'], [' 올리브유', '0.5', 't']]",4인분,고급,90분이내,0.030093621,,,7.512071245835466,-0.25662881010234706,
7016820,참치 카나페,4259,10,기타,일상,기타,디저트,"[['참치 1캔', '85', 'g'], [' 마요네즈', '1', '큰술'], [' 흰설탕', '2~3', '꼬집'], [' 후추', '', '톡톡'], [' 체다 슬라이스 치즈', '2', '장'], [' 참크래커', '1~2', '봉지'], [' 귤', '1', '개'], [' 대추 방울 토마토', '3', '개']]",2인분,고급,10분이내,0.070075851,,,8.357024439263416,0.5883243833256024,
7016824,소고기 떡국,1905,5,끓이기,일상,기타,국/탕,"[['소고기다짐육', '250', 'g'], [' 국간장', '4', '큰술'], [' 참기름', '1', '큰술'], [' 물', '8', '컵'], [' 후추', '', '약간'], [' 대파', '1', '대'], [' 떡국떡', '4', '공기'], [' 조미김', '', ''], [' 깨', '', '']]",4인분,중급,30분이내,0.031344094,,,7.552762084214147,-0.21593797172366624,
7016834,대파 간장계란밥,1408,12,볶음,일상,채소류,밥/죽/떡,"[['대파', '1.5', '대'], [' 다진마늘', '1/2', '스푼'], [' 계란', '2', '개'], [' 들기름', '4~5', '스푼'], [' 간장', '1', '스푼'], [' 통깨', '', '약간']]",1인분,고급,15분이내,0.023166658,,,7.25063551189868,-0.5180645440391336,
7016836,브라운슈가헤이즐넛라떼,2704,4,기타,일상,달걀/유제품,차/음료/술,"[['인스턴트커피', '1', 't'], [' 브라운슈가', '1', 't'], [' 헤이즐넛시럽', '1', 't'], [' 뜨거운 물', '1', 't'], [' 얼음', '', '적당량'], [' 우유', '120', 'ml']]",1인분,고급,10분이내,0.044490515,,,7.902857191280582,0.13415713534276819,
7016837,떡국,1472,16,끓이기,명절,소고기,국/탕,"[['소고기 다짐육', '200', 'g'], [' 식용유', '2', ''], [' 표고버섯', '3', '개'], [' 마른김', '2', '장'], [' 떡국떡', '2', '공기'], [' 다진 대파', '4', ''], [' 계란', '2', '개'], [' 물', '1.5', 'l'], [' 멸치육수팩', '2', '개'], [' 설탕', '1', '']]",2인분,고급,30분이내,0.024219688,,,7.29505641646263,-0.47364363947518306,
7016842,짜사이무침,3911,6,무침,일상,채소류,밑반찬,"[['짜사이', '400', 'g'], [' 대파', '1', '대'], [' 맛술', '1', '큰술'], [' 설탕', '1', '큰술'], [' 식초', '1', '큰술'], [' 참기름', '1/2', '큰술']]",6인분이상,초급,30분이내,0.064350001,,,8.271804031154709,0.5031039752168951,
